ITERATION	TESTCASE	DESCRIPTION	TRACKID	STARTDATE	ENDDATE	TASK	COUNTERS	VALUE(ms)	SIZE	NAME	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.39,90	09.51.39,91	RESOURCE	NETWORK	8	30225	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,98,0	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.39,90	09.51.39,91	RESOURCE	NETWORK	10	38258	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,114,0	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.39,91	09.51.39,92	RESOURCE	NETWORK	8	30700	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,66,0	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.39,91	09.51.39,92	RESOURCE	NETWORK	7	33318	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,339,0	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.39,92	09.51.39,92	RESOURCE	NETWORK	8	61329	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,95,1	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.39,92	09.51.39,93	RESOURCE	NETWORK	9	27858	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,100,0	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.39,92	09.51.39,93	RESOURCE	NETWORK	10	3111	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,116,0	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.39,93	09.51.39,94	RESOURCE	NETWORK	9	3111	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,111,0	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.39,93	09.51.39,94	RESOURCE	NETWORK	7	31688	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,127,0	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.39,94	09.51.39,95	RESOURCE	NETWORK	10	3111	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,408,0	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.39,94	09.51.39,95	RESOURCE	NETWORK	7	7796	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,72,0	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.39,95	09.51.39,96	RESOURCE	NETWORK	10	3111	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,446,0	
